#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.061509 176.913552 41.330789 99.999 99.999 17.916 99.999 99.999 9.999  9.999  0.006  9.999  9.999  768413565295580672 
0.069593 176.913556 41.330792 99.999 99.999 17.923 99.999 99.999 9.999  9.999  0.006  9.999  9.999  768413565295580672 
0.099470 174.174182 47.875906 18.590 18.548 18.372 18.341 18.375 0.017  0.007  0.008  0.010   0.03 787312933238915584 
0.114225 174.174173 47.875908 18.611 18.556 18.378 18.348 18.387 0.017  0.007  0.008  0.010   0.02 787312933238915584 
0.005494 177.104328 41.704558 19.209 18.923 18.786 18.815 18.771 0.023  0.009  0.010  0.012   0.03 768424453037559296 
0.005494 177.104328 41.704558 19.209 18.923 18.786 18.815 18.780 0.023  0.009  0.010  0.012   0.03 768424453037559296 
0.013900 177.104332 41.704557 19.189 18.911 18.772 18.803 18.730 0.025  0.009  0.010  0.012   0.03 768424453037559296 
0.082254 178.737972 41.323632 19.897 18.838 18.086 17.894 17.608 0.033  0.009  0.007  0.007   0.01 768542375659308928 
0.089362 178.737963 41.323634 19.873 18.832 18.081 17.892 17.596 0.034  0.009  0.007  0.007   0.01 768542375659308928 
0.069750 178.872842 41.455253 19.234 19.213 18.934 18.923 19.116 0.022  0.010  0.010  0.013   0.04 768545090078670208 
0.085176 178.872842 41.455248 19.250 19.228 18.947 18.954 19.151 0.022  0.011  0.011  0.013   0.04 768545090078670208 
0.085176 178.872842 41.455248 19.250 19.228 18.947 18.954 19.151 0.022  0.011  0.011  0.013   0.04 768545090078670208 
0.016997 178.357290 41.363240 19.237 18.807 18.650 18.340 17.996 0.023  0.009  0.009  0.009   0.02 768554405863055872 
0.029546 178.357295 41.363240 19.252 18.814 18.656 18.346 18.014 0.023  0.009  0.009  0.009   0.01 768554405863055872 
0.029546 178.357295 41.363240 19.252 18.814 18.656 18.346 18.014 0.023  0.009  0.009  0.009   0.01 768554405863055872 
0.058472 178.681015 41.664384 18.213 18.043 17.838 17.764 17.800 0.014  0.006  0.006  0.007   0.02 768562892718969472 
0.061298 178.681013 41.664385 18.236 18.046 17.827 17.797 17.800 0.014  0.006  0.006  0.007   0.02 768562892718969472 
0.079085 178.681016 41.664377 18.226 18.047 17.843 17.774 17.805 0.015  0.006  0.006  0.007   0.01 768562892718969472 
0.079260 178.681013 41.664378 18.248 18.052 17.833 17.800 17.824 0.015  0.006  0.006  0.007   0.01 768562892718969472 
0.079680 178.681015 41.664376 18.235 18.053 17.849 17.779 17.814 0.015  0.006  0.006  0.007   0.01 768562892718969472 
0.079882 178.681013 41.664378 18.260 18.060 17.840 17.801 17.840 0.015  0.006  0.006  0.007   0.01 768562892718969472 
0.071150 179.391011 41.499205 20.369 19.228 19.014 18.775 18.438 0.045  0.011  0.011  0.011   0.02 768582782711779584 
0.071150 179.391011 41.499205 20.368 19.228 19.014 18.775 18.438 0.045  0.011  0.011  0.011   0.02 768582782711779584 
