#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
760452443979926272 170.723879624004 36.45658614325098 18.636 0.018 18.265 0.007 18.206 0.007 17.995 0.008 17.984 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 17.086 0.188 16.349 0.218 15.918 0.227 14.873 0.03 13.593 0.032 10.518 0.084 8.79 0.411
760517830562369408 170.1873688802095 36.71915934348725 19.06 0.022 18.803 0.008 18.692 0.009 18.523 0.011 18.291 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.45 0.037 14.646 0.051 11.453 0.209 99.999 99.999
760561987121364352 171.69215950698964 36.13202399250823 19.77 0.034 18.959 0.009 18.454 0.008 18.354 0.009 18.542 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.459 0.039 14.179 0.042 10.98 0.158 8.646 0.388
760595964607326848 172.0985082105906 36.4367531624152 19.262 0.024 18.71 0.008 18.591 0.009 18.576 0.011 18.441 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.767 0.044 14.771 0.06 10.947 0.127 8.542 0.357
760596484298637952 172.08676593727972 36.50822489752806 18.862 0.019 18.973 0.009 19.031 0.011 18.755 0.013 18.695 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.683 0.042 14.52 0.049 11.336 0.192 99.999 99.999
760666367711112320 171.74855482298065 36.827502099003965 18.363 0.015 18.079 0.006 18.121 0.007 18.284 0.009 18.216 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.626 0.13 16.581 9.999 16.239 0.283 14.711 0.029 13.523 0.031 10.754 0.119 8.414 0.361
760697050957797888 172.4330376185149 36.77702759832179 19.748 0.035 19.441 0.012 19.348 0.013 19.295 0.016 19.311 0.05 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.638 0.027 13.542 0.031 10.926 0.115 99.999 99.999
760704335221911168 172.12880576692874 36.6748951645937 19.122 0.024 18.963 0.009 19.056 0.011 18.893 0.012 18.788 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.839 0.03 13.769 0.033 10.921 0.115 8.657 0.445
760710142017736704 171.98518053081327 36.85373315352513 19.049 0.023 18.467 0.007 18.298 0.008 18.079 0.008 18.016 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.933 0.157 16.773 0.282 15.337 0.124 13.67 0.025 12.552 0.024 9.714 0.046 7.47 0.13
760823391715679744 172.19135734709508 37.74673415067157 19.544 0.031 18.958 0.009 18.91 0.011 18.821 0.015 18.542 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.609 0.04 14.572 0.048 11.45 0.22 99.999 99.999
